??,??,??,??,??????,????????,????
01-03-2019 0.00,1,-8.083,0.002,0,0,0
01-03-2019 1.00,2,-8.324,0.002,0,0,0
01-03-2019 2.00,3,-8.261,0.002,0,0,0
01-03-2019 3.00,4,-8.036,0.002,0,0,0
01-03-2019 4.00,5,-8.291,0.002,0,0,0
01-03-2019 5.00,6,-8.859,0.002,0.408,1.828,0
01-03-2019 6.00,7,-8.852,0.002,39.952,106.569,762.495
01-03-2019 7.00,8,-6.058,0.002,166.619,322.632,1947.657
01-03-2019 8.00,9,-3.166,0.002,318.431,512.087,3178.949
01-03-2019 9.00,10,-0.677,0.002,450.461,656.924,3645.347
01-03-2019 10.00,11,0.617,0.002,535.434,747.324,3771.749
01-03-2019 11.00,12,1.204,0.002,547.181,777.102,3806.537
01-03-2019 12.00,13,1.498,0.002,514.879,744.303,3831.06
01-03-2019 13.00,14,1.501,0.002,442.871,651.12,3649.843
01-03-2019 14.00,15,1.134,0.002,329.011,503.958,3225.598
01-03-2019 15.00,16,0.182,0.002,183.507,312.85,2361.691
01-03-2019 16.00,17,-3.08,0.002,43.72,95.739,720.882
01-03-2019 17.00,18,-6.011,0.002,0.112,0.464,0
01-03-2019 18.00,19,-7.035,0.002,0,0,0
01-03-2019 19.00,20,-7.879,0.002,0,0,0
01-03-2019 20.00,21,-8.616,0.002,0,0,0
01-03-2019 21.00,22,-9.25,0.002,0,0,0
01-03-2019 22.00,23,-9.54,0.002,0,0,0
01-03-2019 23.00,24,-9.674,0.002,0,0,0
02-03-2019 0.00,25,-9.752,0.002,0,0,0
02-03-2019 1.00,26,-10.048,0.002,0,0,0
02-03-2019 2.00,27,-10.397,0.002,0,0,0
02-03-2019 3.00,28,-10.589,0.002,0,0,0
02-03-2019 4.00,29,-10.796,0.002,0,0,0
02-03-2019 5.00,30,-11.148,0.002,0.626,2.301,0
02-03-2019 6.00,31,-9.868,0.002,48.84,112.536,1813.39
02-03-2019 7.00,32,-5.409,0.002,180.449,329.608,2724.564
02-03-2019 8.00,33,-2.236,0.002,320.161,519.136,3056.053
02-03-2019 9.00,34,0.914,0.002,432.343,664.04,3189.002
02-03-2019 10.00,35,2.894,0.002,497.883,754.46,2959.622
02-03-2019 11.00,36,4.055,0.002,508.139,784.26,2728.797
02-03-2019 12.00,37,4.601,0.002,459.765,751.454,2044.222
02-03-2019 13.00,38,4.554,0.002,368.846,658.229,1280.288
02-03-2019 14.00,39,3.908,0.003,251.167,511.002,729.565
02-03-2019 15.00,40,2.185,0.003,132.093,319.819,282.732
02-03-2019 16.00,41,0.259,0.003,33.417,101.762,29.295
02-03-2019 17.00,42,-0.573,0.003,0.168,0.692,0
02-03-2019 18.00,43,-1.017,0.003,0,0,0
02-03-2019 19.00,44,-1.875,0.003,0,0,0
02-03-2019 20.00,45,-2.799,0.003,0,0,0
02-03-2019 21.00,46,-3.848,0.002,0,0,0
02-03-2019 22.00,47,-4.742,0.002,0,0,0
02-03-2019 23.00,48,-5.571,0.002,0,0,0
03-03-2019 0.00,49,-6.392,0.002,0,0,0
03-03-2019 1.00,50,-7.209,0.002,0,0,0
03-03-2019 2.00,51,-7.715,0.002,0,0,0
03-03-2019 3.00,52,-8.024,0.002,0,0,0
03-03-2019 4.00,53,-8.318,0.002,0,0,0
03-03-2019 5.00,54,-8.837,0.002,0.544,2.855,0
03-03-2019 6.00,55,-7.981,0.002,45.271,118.637,1500.084
03-03-2019 7.00,56,-4.979,0.002,177.716,336.589,2505.75
03-03-2019 8.00,57,-2.11,0.002,333.503,526.194,3558.405
03-03-2019 9.00,58,1.461,0.002,461.808,671.15,3854.448
03-03-2019 10.00,59,3.544,0.002,540.294,761.614,3957.306
03-03-2019 11.00,60,4.542,0.002,557.697,791.422,3951.489
03-03-2019 12.00,61,4.987,0.002,523.8,758.572,3884.882
03-03-2019 13.00,62,4.964,0.002,447.626,665.337,3660.496
03-03-2019 14.00,63,4.566,0.003,328.977,518.056,3212.579
03-03-2019 15.00,64,3.086,0.003,182.027,326.803,2314.281
03-03-2019 16.00,65,1.102,0.003,45.659,107.93,687.083
03-03-2019 17.00,66,0.594,0.002,0.231,0.998,0
03-03-2019 18.00,67,0.443,0.002,0,0,0
03-03-2019 19.00,68,0.073,0.002,0,0,0
03-03-2019 20.00,69,-0.491,0.002,0,0,0
03-03-2019 21.00,70,-1.038,0.002,0,0,0
03-03-2019 22.00,71,-1.529,0.002,0,0,0
03-03-2019 23.00,72,-2.016,0.002,0,0,0
04-03-2019 0.00,73,-2.487,0.002,0,0,0
04-03-2019 1.00,74,-2.858,0.002,0,0,0
04-03-2019 2.00,75,-3.156,0.002,0,0,0
04-03-2019 3.00,76,-3.441,0.002,0,0,0
04-03-2019 4.00,77,-3.682,0.002,0,0,0
04-03-2019 5.00,78,-3.819,0.002,0.874,3.5,0
04-03-2019 6.00,79,-3.53,0.002,48.84,124.867,1479.099
04-03-2019 7.00,80,-1.862,0.002,177.809,343.584,2381.034
04-03-2019 8.00,81,1.065,0.002,327.743,533.242,3365.86
04-03-2019 9.00,82,4.214,0.002,448.896,678.246,3794.923
04-03-2019 10.00,83,5.718,0.002,521.776,768.741,3927.02
04-03-2019 11.00,84,6.598,0.002,540.382,798.558,3914.225
04-03-2019 12.00,85,7.002,0.002,504.751,765.7,3836.62
04-03-2019 13.00,86,6.945,0.002,419.799,672.435,3621.529
04-03-2019 14.00,87,6.426,0.003,295.664,525.107,3097.467
04-03-2019 15.00,88,5.062,0.003,161.222,333.794,2154.531
04-03-2019 16.00,89,3.291,0.003,40.981,114.225,592.933
04-03-2019 17.00,90,2.33,0.002,0.277,1.392,0
04-03-2019 18.00,91,1.853,0.002,0,0,0
04-03-2019 19.00,92,1.544,0.002,0,0,0
04-03-2019 20.00,93,1.486,0.002,0,0,0
04-03-2019 21.00,94,1.529,0.002,0,0,0
04-03-2019 22.00,95,1.434,0.002,0,0,0
04-03-2019 23.00,96,1.084,0.002,0,0,0
05-03-2019 0.00,97,0.688,0.002,0,0,0
05-03-2019 1.00,98,0.345,0.002,0,0,0
05-03-2019 2.00,99,-0.083,0.002,0,0,0
05-03-2019 3.00,100,-0.529,0.002,0,0,0
05-03-2019 4.00,101,-1.133,0.002,0,0,0
05-03-2019 5.00,102,-1.953,0.002,0.935,4.242,0
05-03-2019 6.00,103,-2.703,0.002,36.43,131.215,238.623
05-03-2019 7.00,104,-1.87,0.002,129.205,350.586,620.584
05-03-2019 8.00,105,-0.21,0.002,237.792,540.295,977.503
05-03-2019 9.00,106,1.945,0.002,326.692,685.341,1314.547
05-03-2019 10.00,107,3.816,0.002,383.793,775.859,1406.578
05-03-2019 11.00,108,4.331,0.002,402.254,805.688,1550.341
05-03-2019 12.00,109,4.029,0.002,384.028,772.818,903.774
05-03-2019 13.00,110,3.355,0.002,330.505,679.517,594.264
05-03-2019 14.00,111,2.523,0.003,247.479,532.15,359.772
05-03-2019 15.00,112,1.454,0.003,142.239,340.79,185.858
05-03-2019 16.00,113,0.164,0.002,41.264,120.631,29.289
05-03-2019 17.00,114,-0.954,0.002,0.426,1.891,0
05-03-2019 18.00,115,-1.333,0.002,0,0,0
05-03-2019 19.00,116,-1.622,0.002,0,0,0
