??,??,????,??,????
01-06-2019 0.00,1,1.164,5.884,1042.746
01-06-2019 1.00,2,1.16,5.827,1013.124
01-06-2019 2.00,3,1.158,5.596,897.527
01-06-2019 3.00,4,1.155,5.332,774.162
01-06-2019 4.00,5,1.153,4.945,610.292
01-06-2019 5.00,6,1.152,3.503,175.843
01-06-2019 6.00,7,1.151,2.863,68.288
01-06-2019 7.00,8,1.15,4.67,506.351
01-06-2019 8.00,9,1.151,6.064,1139.637
01-06-2019 9.00,10,1.152,6.561,1427.225
01-06-2019 10.00,11,1.155,6.671,1499.74
01-06-2019 11.00,12,1.158,6.812,1582.685
01-06-2019 12.00,13,1.161,6.824,1593.342
01-06-2019 13.00,14,1.164,6.737,1541.439
01-06-2019 14.00,15,1.167,6.437,1356.278
01-06-2019 15.00,16,1.17,5.664,930.716
01-06-2019 16.00,17,1.173,4.813,561.614
01-06-2019 17.00,18,1.175,4.665,506.234
01-06-2019 18.00,19,1.177,4.577,473.637
01-06-2019 19.00,20,1.179,2.859,67.803
01-06-2019 20.00,21,1.18,3.666,210.35
01-06-2019 21.00,22,1.18,7.117,1783.851
01-06-2019 22.00,23,1.174,8.248,2551.613
01-06-2019 23.00,24,1.167,8.724,2871.287
02-06-2019 0.00,25,1.16,8.961,3025.921
02-06-2019 1.00,26,1.154,9.299,3237.726
02-06-2019 2.00,27,1.15,9.05,3088.771
02-06-2019 3.00,28,1.148,8.785,2914.937
02-06-2019 4.00,29,1.146,8.216,2528.304
02-06-2019 5.00,30,1.145,6.432,1351.048
02-06-2019 6.00,31,1.145,7.801,2242.944
02-06-2019 7.00,32,1.145,8.086,2441.735
02-06-2019 8.00,33,1.147,8.25,2552.075
02-06-2019 9.00,34,1.15,8.744,2888.618
02-06-2019 10.00,35,1.153,9.151,3152.359
02-06-2019 11.00,36,1.157,9.501,3359.638
02-06-2019 12.00,37,1.161,9.585,3410.978
02-06-2019 13.00,38,1.165,9.416,3312.673
02-06-2019 14.00,39,1.168,9.108,3119.522
02-06-2019 15.00,40,1.171,8.478,2706.893
02-06-2019 16.00,41,1.174,7.745,2207.533
02-06-2019 17.00,42,1.176,6.572,1434.38
02-06-2019 18.00,43,1.179,6.529,1407.394
02-06-2019 19.00,44,1.181,7.336,1928.224
02-06-2019 20.00,45,1.183,7.373,1955.092
02-06-2019 21.00,46,1.183,7.088,1762.038
02-06-2019 22.00,47,1.177,7.015,1716.183
02-06-2019 23.00,48,1.167,6.726,1532.822
03-06-2019 0.00,49,1.161,5.997,1102.983
03-06-2019 1.00,50,1.158,5.508,855.191
03-06-2019 2.00,51,1.154,5.861,1031.055
03-06-2019 3.00,52,1.151,6.919,1656.216
03-06-2019 4.00,53,1.149,6.298,1271.091
03-06-2019 5.00,54,1.147,3.492,174.195
03-06-2019 6.00,55,1.147,4.012,297.904
03-06-2019 7.00,56,1.147,5.097,672.245
03-06-2019 8.00,57,1.147,5.158,697.885
03-06-2019 9.00,58,1.149,4.894,590.295
03-06-2019 10.00,59,1.151,4.608,484.44
03-06-2019 11.00,60,1.154,4.351,398.366
03-06-2019 12.00,61,1.158,4.043,306.473
03-06-2019 13.00,62,1.161,3.624,202.867
03-06-2019 14.00,63,1.164,3.336,141.558
03-06-2019 15.00,64,1.167,3.302,135.259
03-06-2019 16.00,65,1.17,3.457,166.782
03-06-2019 17.00,66,1.173,3.519,177.904
03-06-2019 18.00,67,1.175,3.901,270.191
03-06-2019 19.00,68,1.178,4.863,579.432
03-06-2019 20.00,69,1.18,5.818,1008.296
03-06-2019 21.00,70,1.18,6.783,1564.729
03-06-2019 22.00,71,1.174,7.556,2074.727
03-06-2019 23.00,72,1.163,7.386,1963.481
04-06-2019 0.00,73,1.157,7.118,1785.286
04-06-2019 1.00,74,1.153,6.959,1682.592
04-06-2019 2.00,75,1.15,6.783,1564.372
04-06-2019 3.00,76,1.147,6.597,1453.516
04-06-2019 4.00,77,1.145,6.274,1257.065
04-06-2019 5.00,78,1.143,3.853,255.656
04-06-2019 6.00,79,1.142,3.224,122.826
04-06-2019 7.00,80,1.142,3.799,242.184
04-06-2019 8.00,81,1.142,4.027,303.871
04-06-2019 9.00,82,1.143,4.09,319.465
04-06-2019 10.00,83,1.146,4.039,305.489
04-06-2019 11.00,84,1.149,3.813,245.555
04-06-2019 12.00,85,1.153,3.556,185.821
04-06-2019 13.00,86,1.157,3.373,149.675
04-06-2019 14.00,87,1.16,3.265,128.584
04-06-2019 15.00,88,1.163,3.312,137.066
04-06-2019 16.00,89,1.166,3.561,186.827
04-06-2019 17.00,90,1.169,3.914,271.563
04-06-2019 18.00,91,1.172,4.931,604.816
04-06-2019 19.00,92,1.174,5.991,1099.75
04-06-2019 20.00,93,1.176,6.854,1613.059
04-06-2019 21.00,94,1.176,7.231,1856.111
04-06-2019 22.00,95,1.169,7.269,1881.346
04-06-2019 23.00,96,1.158,6.971,1684.51
05-06-2019 0.00,97,1.152,6.507,1394.375
05-06-2019 1.00,98,1.148,6.135,1178.461
05-06-2019 2.00,99,1.146,5.831,1015.382
05-06-2019 3.00,100,1.144,5.626,912.112
05-06-2019 4.00,101,1.142,5.6,899.321
05-06-2019 5.00,102,1.142,3.908,270.353
05-06-2019 6.00,103,1.141,2.598,40.526
05-06-2019 7.00,104,1.141,3.833,250.582
05-06-2019 8.00,105,1.142,3.924,274.158
05-06-2019 9.00,106,1.144,4.096,321.304
05-06-2019 10.00,107,1.147,4.488,443.162
05-06-2019 11.00,108,1.151,4.894,590.317
05-06-2019 12.00,109,1.155,5.077,664.994
05-06-2019 13.00,110,1.159,5.122,682.73
05-06-2019 14.00,111,1.163,5.161,699.149
05-06-2019 15.00,112,1.167,5.138,689.35
05-06-2019 16.00,113,1.169,4.921,600.99
05-06-2019 17.00,114,1.172,4.34,394.759
05-06-2019 18.00,115,1.174,4.107,324.595
05-06-2019 19.00,116,1.176,3.952,283.863
05-06-2019 20.00,117,1.178,3.936,277.314
05-06-2019 21.00,118,1.178,3.871,262.754
05-06-2019 22.00,119,1.174,3.876,263.982
05-06-2019 23.00,120,1.166,4.478,439.55
06-06-2019 0.00,121,1.16,5.868,1034.375
06-06-2019 1.00,122,1.156,7.363,1946.069
06-06-2019 2.00,123,1.153,7.398,1973.825
06-06-2019 3.00,124,1.151,7.094,1767.699
06-06-2019 4.00,125,1.149,6.582,1444.399
06-06-2019 5.00,126,1.147,5.285,757.342
06-06-2019 6.00,127,1.147,6.636,1473.094
06-06-2019 7.00,128,1.147,7.983,2370.308
06-06-2019 8.00,129,1.148,9.532,3377.364
06-06-2019 9.00,130,1.149,10.715,3977.541
06-06-2019 10.00,131,1.152,11.357,4225.701
06-06-2019 11.00,132,1.156,11.401,4242.969
06-06-2019 12.00,133,1.16,10.806,4015.856
06-06-2019 13.00,134,1.163,9.692,3473.787
06-06-2019 14.00,135,1.166,8.265,2565.289
06-06-2019 15.00,136,1.169,6.586,1444.516
06-06-2019 16.00,137,1.172,5.212,720.94
06-06-2019 17.00,138,1.175,4.755,537.375
06-06-2019 18.00,139,1.177,5.324,772.882
06-06-2019 19.00,140,1.179,6.282,1261.996
06-06-2019 20.00,141,1.181,7.004,1708.046
06-06-2019 21.00,142,1.18,7.066,1746.521
06-06-2019 22.00,143,1.175,6.566,1430.256
06-06-2019 23.00,144,1.167,6.401,1331.436
07-06-2019 0.00,145,1.161,6.173,1203.629
07-06-2019 1.00,146,1.156,5.126,684.18
07-06-2019 2.00,147,1.152,4.83,565.627
07-06-2019 3.00,148,1.148,4.079,316.61
07-06-2019 4.00,149,1.145,3.156,110.086
07-06-2019 5.00,150,1.143,2.873,69.578
07-06-2019 6.00,151,1.141,2.125,11.837
07-06-2019 7.00,152,1.141,2.01,8.146
07-06-2019 8.00,153,1.141,3.343,142.859
07-06-2019 9.00,154,1.143,4.681,510.159
07-06-2019 10.00,155,1.146,5.336,775.856
07-06-2019 11.00,156,1.149,5.819,1009.028
07-06-2019 12.00,157,1.153,6.186,1209.9
07-06-2019 13.00,158,1.156,6.236,1241.181
07-06-2019 14.00,159,1.159,6.038,1126.242
07-06-2019 15.00,160,1.161,5.72,958.652
07-06-2019 16.00,161,1.164,5.167,701.692
07-06-2019 17.00,162,1.166,4.581,474.978
07-06-2019 18.00,163,1.169,5.504,853.359
07-06-2019 19.00,164,1.171,7.733,2198.009
07-06-2019 20.00,165,1.172,8.901,2993.246
07-06-2019 21.00,166,1.171,9.133,3135.505
07-06-2019 22.00,167,1.165,9.09,3108.08
07-06-2019 23.00,168,1.156,8.819,2933.838
08-06-2019 0.00,169,1.149,8.425,2674.318
08-06-2019 1.00,170,1.145,8.197,2514.972
08-06-2019 2.00,171,1.141,8.03,2407.052
08-06-2019 3.00,172,1.138,7.82,2255.58
08-06-2019 4.00,173,1.135,7.267,1881.305
08-06-2019 5.00,174,1.134,5.42,814.008
08-06-2019 6.00,175,1.134,5.02,640.616
08-06-2019 7.00,176,1.134,6.281,1261.57
08-06-2019 8.00,177,1.136,7.045,1732.825
08-06-2019 9.00,178,1.138,6.955,1677.509
08-06-2019 10.00,179,1.14,6.671,1499.76
08-06-2019 11.00,180,1.143,6.196,1215.003
08-06-2019 12.00,181,1.147,5.779,992.802
08-06-2019 13.00,182,1.15,5.605,901.633
08-06-2019 14.00,183,1.154,5.451,832.806
08-06-2019 15.00,184,1.157,5.365,788.855
08-06-2019 16.00,185,1.16,5.47,837.282
08-06-2019 17.00,186,1.162,5.359,786.195
08-06-2019 18.00,187,1.165,6.698,1512.402
08-06-2019 19.00,188,1.167,8.41,2660.75
08-06-2019 20.00,189,1.169,9.371,3281.657
08-06-2019 21.00,190,1.169,9.3,3238.444
08-06-2019 22.00,191,1.166,8.868,2966.195
08-06-2019 23.00,192,1.159,8.501,2722.873
09-06-2019 0.00,193,1.153,8.02,2393.573
09-06-2019 1.00,194,1.15,7.734,2199.624
09-06-2019 2.00,195,1.148,8.123,2469.218
09-06-2019 3.00,196,1.146,7.411,1977.284
09-06-2019 4.00,197,1.144,6.628,1469.094
09-06-2019 5.00,198,1.143,5.488,845.529
09-06-2019 6.00,199,1.143,4.414,420.377
09-06-2019 7.00,200,1.144,4.815,561.677
09-06-2019 8.00,201,1.145,6.534,1410.795
09-06-2019 9.00,202,1.147,7.88,2297.326
09-06-2019 10.00,203,1.15,8.615,2798.839
09-06-2019 11.00,204,1.153,8.737,2884.52
09-06-2019 12.00,205,1.157,8.516,2735.167
09-06-2019 13.00,206,1.16,8.624,2804.699
09-06-2019 14.00,207,1.163,8.536,2748.631
09-06-2019 15.00,208,1.165,8.055,2421.07
09-06-2019 16.00,209,1.167,7.928,2331.533
09-06-2019 17.00,210,1.17,7.708,2178.794
09-06-2019 18.00,211,1.171,7.721,2187.832
09-06-2019 19.00,212,1.173,7.394,1971.314
09-06-2019 20.00,213,1.174,6.979,1689.633
09-06-2019 21.00,214,1.173,6.782,1563.64
09-06-2019 22.00,215,1.166,6.605,1456.719
09-06-2019 23.00,216,1.158,6.382,1320.221
10-06-2019 0.00,217,1.151,6.2,1215.38
10-06-2019 1.00,218,1.147,6.033,1126.073
10-06-2019 2.00,219,1.143,6.089,1153.686
10-06-2019 3.00,220,1.14,6.058,1137.164
10-06-2019 4.00,221,1.138,5.632,914.798
10-06-2019 5.00,222,1.137,4.468,436.397
10-06-2019 6.00,223,1.136,4.162,340.513
10-06-2019 7.00,224,1.137,4.315,387.001
10-06-2019 8.00,225,1.138,4.241,364.129
10-06-2019 9.00,226,1.14,3.94,278.459
10-06-2019 10.00,227,1.142,3.492,174.145
10-06-2019 11.00,228,1.146,3.406,154.807
10-06-2019 12.00,229,1.149,3.7,220.395
10-06-2019 13.00,230,1.153,3.945,280.852
10-06-2019 14.00,231,1.156,3.957,285.175
10-06-2019 15.00,232,1.159,3.808,244.423
10-06-2019 16.00,233,1.161,3.754,231.248
10-06-2019 17.00,234,1.164,3.449,164.985
10-06-2019 18.00,235,1.166,3.08,98.137
10-06-2019 19.00,236,1.168,2.963,82.435
10-06-2019 20.00,237,1.17,3.004,86.921
10-06-2019 21.00,238,1.169,3.257,127.084
10-06-2019 22.00,239,1.163,3.694,217.679
10-06-2019 23.00,240,1.156,4.068,313.384
11-06-2019 0.00,241,1.15,4.28,378.945
11-06-2019 1.00,242,1.146,4.448,429.836
11-06-2019 2.00,243,1.144,4.822,562.447
11-06-2019 3.00,244,1.142,5.147,693.159
11-06-2019 4.00,245,1.141,4.904,594.149
11-06-2019 5.00,246,1.141,3.059,94.938
11-06-2019 6.00,247,1.141,2.838,65.307
11-06-2019 7.00,248,1.141,3.32,138.509
11-06-2019 8.00,249,1.143,3.487,173.132
11-06-2019 9.00,250,1.145,3.586,192.447
11-06-2019 10.00,251,1.148,3.613,199.098
11-06-2019 11.00,252,1.152,3.483,172.186
11-06-2019 12.00,253,1.155,3.079,97.895
11-06-2019 13.00,254,1.159,2.571,38.889
11-06-2019 14.00,255,1.162,1.964,7.064
11-06-2019 15.00,256,1.164,1.223,0.18
11-06-2019 16.00,257,1.166,0.591,0
11-06-2019 17.00,258,1.168,0.695,0
11-06-2019 18.00,259,1.17,1.35,0.41
11-06-2019 19.00,260,1.171,1.681,2.26
11-06-2019 20.00,261,1.172,1.414,0.604
11-06-2019 21.00,262,1.171,1.276,0.258
11-06-2019 22.00,263,1.166,1.397,0.558
11-06-2019 23.00,264,1.159,1.596,1.527
12-06-2019 0.00,265,1.152,2.016,8.328
12-06-2019 1.00,266,1.147,2.251,17.17
12-06-2019 2.00,267,1.142,2.195,14.761
12-06-2019 3.00,268,1.139,2.084,10.673
12-06-2019 4.00,269,1.136,2.315,20.911
12-06-2019 5.00,270,1.134,1.803,3.897
12-06-2019 6.00,271,1.133,1.494,0.915
12-06-2019 7.00,272,1.132,1.104,0.074
12-06-2019 8.00,273,1.132,1.466,0.791
12-06-2019 9.00,274,1.134,1.451,0.728
