wind_speed,temp,prs,hum,pow_out
2.494,-13.484,889.867,76.32,0.254383
1.882,-13.691,889.575,76.757,0.329703
2.35,-13.766,889.942,76.981,0.296306
2.808,-13.691,889.675,76.821,0.18759
2.924,-13.447,890.025,74.571,0.081005
2.137,-13.983,889.692,71.808,0.189721
2.506,-14.014,889.967,70.816,0.265041
2.868,-14.149,889.45,69.525,0.241593
2.657,-14.116,890.0,69.824,0.184037
2.841,-14.183,889.808,75.029,0.119375
1.968,-14.166,889.542,77.312,0.30128
2.203,-14.149,890.05,77.035,0.508055
2.332,-14.266,889.683,74.261,1.082193
1.957,-14.099,889.358,71.36,0.537188
1.868,-14.116,888.7,69.643,0.156325
2.227,-13.899,889.95,68.501,0.724778
1.555,-14.233,890.483,67.467,0.226671
1.822,-14.249,889.858,67.328,0.218855
1.692,-14.133,890.133,68.075,0.366652
2.013,-14.278,889.933,68.384,0.333966
2.049,-14.641,890.217,68.011,0.328282
2.163,-14.828,889.917,69.024,0.301991
3.054,-14.599,890.258,69.717,0.297017
2.144,-14.481,890.033,70.784,0.267173
2.567,-14.433,889.85,71.168,0.153482
2.348,-14.724,889.842,71.189,0.266463
2.579,-14.474,889.8,70.4,0.04974
3.361,-14.291,889.975,68.48,0.674328
2.432,-14.266,889.767,66.549,1.227149
1.908,-13.841,889.75,64.821,0.508766
3.076,-13.983,889.9,63.947,0.95358
2.725,-13.68,889.867,62.859,0.542162
1.925,-13.916,889.383,61.984,0.241593
1.477,-13.722,889.417,61.365,0.352441
1.795,-13.812,889.725,61.675,0.362389
2.667,-13.81,889.908,61.611,0.287069
2.809,-13.56,889.792,61.696,0.284227
2.39,-13.747,889.658,62.251,0.181905
2.441,-13.503,889.925,62.144,0.131455
2.835,-13.71,889.942,67.787,0.121507
2.408,-13.728,889.767,76.192,0.265752
3.252,-13.597,889.854,82.315,0.795835
2.58,-13.466,889.854,84.117,0.588349
2.063,-13.672,889.988,84.203,0.553532
1.589,-13.334,889.871,81.781,0.2757
1.102,-13.19,889.525,79.573,0.245146
1.448,-13.203,889.933,76.939,0.35102
2.461,-12.72,889.858,74.912,0.339651
2.75,-12.703,890.075,72.96,0.299149
3.205,-12.57,889.533,69.973,0.46329
3.719,-12.536,889.392,67.189,2.070591
3.59,-12.386,890.192,64.469,1.792049
3.388,-12.316,889.683,65.824,1.273335
2.563,-11.899,889.825,64.352,0.439841
3.571,-11.278,889.825,63.627,1.033874
2.365,-11.411,890.125,62.496,0.972055
2.805,-11.378,889.917,66.133,0.340361
2.905,-11.445,889.983,66.837,0.548558
2.957,-11.511,889.75,67.925,0.169115
2.013,-11.445,890.133,68.416,0.154904
3.104,-11.174,889.792,69.088,0.059688
3.086,-11.878,889.975,72.853,0.182616
3.306,-12.236,889.867,74.443,0.638089
3.412,-12.386,889.758,76.341,0.960686
3.058,-12.636,890.0,77.067,0.818573
3.168,-12.67,889.925,78.603,0.16272
2.593,-12.72,889.808,78.645,0.07461
2.479,-12.62,889.983,79.403,0.285648
1.586,-12.486,890.0,79.115,0.36381
0.0,-12.62,890.042,78.944,0.341072
0.0,-12.686,890.008,78.144,0.341072
0.04,-12.67,889.867,78.101,0.341072
0.0,-12.853,889.875,79.029,0.341072
0.0,-12.67,889.758,80.149,0.341072
0.0,-12.786,889.583,81.237,0.341072
0.0,-12.703,889.946,82.219,0.341072
0.39,-13.086,889.692,83.328,0.341072
0.0,-13.186,890.154,83.712,0.341072
