Date,Parameter,Value,Unit of measure
Mar-93,Fuel usage,60008.0,litres
Apr-93,Fuel usage,66361.0,litres
May-93,Fuel usage,73614.0,litres
Jun-93,Fuel usage,68455.0,litres
Jul-93,Fuel usage,70883.0,litres
Aug-93,Fuel usage,69062.0,litres
Sep-93,Fuel usage,68592.0,litres
Oct-93,Fuel usage,62229.0,litres
Nov-93,Fuel usage,50975.0,litres
Dec-93,Fuel usage,57053.0,litres
May-94,Fuel usage,78484.0,litres
Jun-94,Fuel usage,68931.0,litres
Jul-94,Fuel usage,73453.0,litres
Aug-94,Fuel usage,75598.0,litres
Sep-94,Fuel usage,69716.0,litres
Oct-94,Fuel usage,65339.0,litres
Nov-94,Fuel usage,59819.0,litres
Dec-94,Fuel usage,53094.0,litres
Jan-95,Fuel usage,53587.0,litres
Feb-95,Fuel usage,54743.0,litres
Mar-95,Fuel usage,61617.0,litres
May-95,Fuel usage,65657.0,litres
Jun-95,Fuel usage,64673.0,litres
Jul-95,Fuel usage,59942.0,litres
Aug-95,Fuel usage,69094.0,litres
Sep-95,Fuel usage,63870.0,litres
Oct-95,Fuel usage,62003.0,litres
Nov-95,Fuel usage,54392.0,litres
Dec-95,Fuel usage,53070.0,litres
Jan-96,Fuel usage,48309.0,litres
Feb-96,Fuel usage,52263.0,litres
Mar-96,Fuel usage,57795.0,litres
May-96,Fuel usage,68915.0,litres
Jun-96,Fuel usage,60460.0,litres
Jul-96,Fuel usage,65854.0,litres
Aug-96,Fuel usage,65699.0,litres
Sep-96,Fuel usage,61383.0,litres
Oct-96,Fuel usage,61849.0,litres
Nov-96,Fuel usage,53479.0,litres
Dec-96,Fuel usage,52755.0,litres
Jan-97,Fuel usage,49877.0,litres
Jan-97,Fuel usage,51054.0,litres
Feb-97,Fuel usage,47039.0,litres
Feb-97,Fuel usage,49176.0,litres
Mar-97,Fuel usage,55874.0,litres
Mar-97,Fuel usage,55497.0,litres
May-97,Fuel usage,71595.0,litres
May-97,Fuel usage,62587.0,litres
Jun-97,Fuel usage,65415.0,litres
Jun-97,Fuel usage,56898.0,litres
Jul-97,Fuel usage,74792.0,litres
Jul-97,Fuel usage,60825.0,litres
Aug-97,Fuel usage,70679.0,litres
Aug-97,Fuel usage,62583.0,litres
Sep-97,Fuel usage,63957.0,litres
Sep-97,Fuel usage,55646.0,litres
Oct-97,Fuel usage,63711.0,litres
Oct-97,Fuel usage,54967.0,litres
Nov-97,Fuel usage,52666.0,litres
Nov-97,Fuel usage,48073.0,litres
Dec-97,Fuel usage,50265.0,litres
Dec-97,Fuel usage,49836.0,litres
Jan-98,Fuel usage,44981.0,litres
Jan-98,Fuel usage,47983.0,litres
Jan-98,Fuel usage,39798.0,litres
Feb-98,Fuel usage,47092.0,litres
Feb-98,Fuel usage,42118.0,litres
Feb-98,Fuel usage,37325.0,litres
Apr-98,Fuel usage,59613.0,litres
Apr-98,Fuel usage,58602.0,litres
Apr-98,Fuel usage,52213.0,litres
May-98,Fuel usage,68362.0,litres
May-98,Fuel usage,52949.0,litres
May-98,Fuel usage,50651.0,litres
Jun-98,Fuel usage,56935.0,litres
Jun-98,Fuel usage,53183.0,litres
Jun-98,Fuel usage,51849.0,litres
Jul-98,Fuel usage,65080.0,litres
Jul-98,Fuel usage,57342.0,litres
Jul-98,Fuel usage,54132.0,litres
Aug-98,Fuel usage,60948.0,litres
Aug-98,Fuel usage,53520.0,litres
Aug-98,Fuel usage,50191.0,litres
Sep-98,Fuel usage,59421.0,litres
Sep-98,Fuel usage,52118.0,litres
Sep-98,Fuel usage,49837.0,litres
Oct-98,Fuel usage,58667.0,litres
Oct-98,Fuel usage,53002.0,litres
Oct-98,Fuel usage,47533.0,litres
