Indicator 58 Monthly total of fuel used by vehicles at Australian Antarctic Stations,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure
Jan-93,-67.60269444,62.87380556,Mawson,Fuel usage,4000,,litres
Feb-93,-67.60269444,62.87380556,Mawson,Fuel usage,1743,,litres
Mar-93,-67.60269444,62.87380556,Mawson,Fuel usage,3080,,litres
Apr-93,-67.60269444,62.87380556,Mawson,Fuel usage,866,,litres
May-93,-67.60269444,62.87380556,Mawson,Fuel usage,804,,litres
Jun-93,-67.60269444,62.87380556,Mawson,Fuel usage,667,,litres
Jul-93,-67.60269444,62.87380556,Mawson,Fuel usage,1021,,litres
Aug-93,-67.60269444,62.87380556,Mawson,Fuel usage,1938,,litres
Sep-93,-67.60269444,62.87380556,Mawson,Fuel usage,100,,litres
Oct-93,-67.60269444,62.87380556,Mawson,Fuel usage,924,,litres
Nov-93,-67.60269444,62.87380556,Mawson,Fuel usage,6000,,litres
Dec-93,-67.60269444,62.87380556,Mawson,Fuel usage,6575,,litres
Jan-94,-67.60269444,62.87380556,Mawson,Fuel usage,2634,,litres
Feb-94,-67.60269444,62.87380556,Mawson,Fuel usage,4104,,litres
Mar-94,-67.60269444,62.87380556,Mawson,Fuel usage,693,,litres
Apr-94,-67.60269444,62.87380556,Mawson,Fuel usage,640,,litres
May-94,-67.60269444,62.87380556,Mawson,Fuel usage,208,,litres
Jun-94,-67.60269444,62.87380556,Mawson,Fuel usage,102,,litres
Jul-94,-67.60269444,62.87380556,Mawson,Fuel usage,172,,litres
Aug-94,-67.60269444,62.87380556,Mawson,Fuel usage,1206,,litres
Sep-94,-67.60269444,62.87380556,Mawson,Fuel usage,397,,litres
Oct-94,-67.60269444,62.87380556,Mawson,Fuel usage,2155,,litres
Nov-94,-67.60269444,62.87380556,Mawson,Fuel usage,2000,,litres
Dec-94,-67.60269444,62.87380556,Mawson,Fuel usage,2900,,litres
Jan-95,-67.60269444,62.87380556,Mawson,Fuel usage,2010,,litres
Feb-95,-67.60269444,62.87380556,Mawson,Fuel usage,3655,,litres
Mar-95,-67.60269444,62.87380556,Mawson,Fuel usage,2375,,litres
Apr-95,-67.60269444,62.87380556,Mawson,Fuel usage,560,,litres
May-95,-67.60269444,62.87380556,Mawson,Fuel usage,425,,litres
Jun-95,-67.60269444,62.87380556,Mawson,Fuel usage,140,,litres
Jul-95,-67.60269444,62.87380556,Mawson,Fuel usage,158,,litres
Aug-95,-67.60269444,62.87380556,Mawson,Fuel usage,274,,litres
Sep-95,-67.60269444,62.87380556,Mawson,Fuel usage,477,,litres
Oct-95,-67.60269444,62.87380556,Mawson,Fuel usage,2174,,litres
Nov-95,-67.60269444,62.87380556,Mawson,Fuel usage,5801,,litres
Dec-95,-67.60269444,62.87380556,Mawson,Fuel usage,3876,,litres
Jan-96,-67.60269444,62.87380556,Mawson,Fuel usage,4535,,litres
Feb-96,-67.60269444,62.87380556,Mawson,Fuel usage,10197,,litres
Mar-96,-67.60269444,62.87380556,Mawson,Fuel usage,2583,,litres
Apr-96,-67.60269444,62.87380556,Mawson,Fuel usage,1117,,litres
May-96,-67.60269444,62.87380556,Mawson,Fuel usage,924,,litres
Jun-96,-67.60269444,62.87380556,Mawson,Fuel usage,905,,litres
Jul-96,-67.60269444,62.87380556,Mawson,Fuel usage,886,,litres
Aug-96,-67.60269444,62.87380556,Mawson,Fuel usage,2944,,litres
Sep-96,-67.60269444,62.87380556,Mawson,Fuel usage,1014,,litres
Oct-96,-67.60269444,62.87380556,Mawson,Fuel usage,2927,,litres
Nov-96,-67.60269444,62.87380556,Mawson,Fuel usage,5661,,litres
Dec-96,-67.60269444,62.87380556,Mawson,Fuel usage,500,,litres
Jan-97,-67.60269444,62.87380556,Mawson,Fuel usage,2500,,litres
Jan-97,-68.57661111,77.96738889,Davis,Fuel usage,1170,,litres
Jan-97,-66.28180556,110.5276111,Casey,Fuel usage,3938,,litres
Jan-97,-54.61988889,158.861,Macquarie Island,Fuel usage,180,,litres
Feb-97,-67.60269444,62.87380556,Mawson,Fuel usage,1020,,litres
Feb-97,-68.57661111,77.96738889,Davis,Fuel usage,1040,,litres
Feb-97,-66.28180556,110.5276111,Casey,Fuel usage,978,,litres
