Date,Parameter,Value,Unit of measure
Jan-93,Station electricity usage,133295.0,kWh
Jan-93,Station electricity usage,119172.0,kWh
Jan-93,Station electricity usage,150332.0,kWh
Jan-93,Station electricity usage,44680.0,kWh
Feb-93,Station electricity usage,148505.0,kWh
Feb-93,Station electricity usage,118032.0,kWh
Feb-93,Station electricity usage,145762.0,kWh
Feb-93,Station electricity usage,40638.0,kWh
Jan-94,Station electricity usage,171500.0,kWh
Jan-94,Station electricity usage,175369.0,kWh
Jan-94,Station electricity usage,125476.0,kWh
Jan-94,Station electricity usage,43015.0,kWh
Feb-94,Station electricity usage,173657.0,kWh
Feb-94,Station electricity usage,164940.0,kWh
Feb-94,Station electricity usage,114783.0,kWh
Feb-94,Station electricity usage,38200.0,kWh
Mar-94,Station electricity usage,194716.0,kWh
Mar-94,Station electricity usage,180826.0,kWh
Mar-94,Station electricity usage,129235.0,kWh
Mar-94,Station electricity usage,43660.0,kWh
Apr-94,Station electricity usage,198951.0,kWh
Apr-94,Station electricity usage,200969.0,kWh
Apr-94,Station electricity usage,135816.0,kWh
Apr-94,Station electricity usage,44070.0,kWh
Apr-95,Station electricity usage,194366.0,kWh
Apr-95,Station electricity usage,160483.0,kWh
Apr-95,Station electricity usage,148442.0,kWh
Apr-95,Station electricity usage,48737.0,kWh
Apr-96,Station electricity usage,188630.0,kWh
Apr-96,Station electricity usage,183969.0,kWh
Apr-96,Station electricity usage,142410.0,kWh
Apr-96,Station electricity usage,55536.0,kWh
Apr-97,Station electricity usage,199936.0,kWh
Apr-97,Station electricity usage,160110.0,kWh
Apr-97,Station electricity usage,150149.0,kWh
Apr-97,Station electricity usage,53663.0,kWh
Mar-98,Station electricity usage,172450.0,kWh
Mar-98,Station electricity usage,161996.0,kWh
Mar-98,Station electricity usage,151661.0,kWh
Mar-98,Station electricity usage,49261.0,kWh
Jan-99,Station electricity usage,145482.0,kWh
Jan-99,Station electricity usage,157717.0,kWh
Jan-99,Station electricity usage,153312.0,kWh
Jan-99,Station electricity usage,46903.0,kWh
Feb-99,Station electricity usage,139031.0,kWh
Feb-99,Station electricity usage,142865.0,kWh
Feb-99,Station electricity usage,138596.0,kWh
Feb-99,Station electricity usage,41910.0,kWh
Mar-03,Station electricity usage,100059.0,kWh
Mar-03,Station electricity usage,141000.0,kWh
Mar-03,Station electricity usage,45639.0,kWh
Apr-03,Station electricity usage,118044.0,kWh
Apr-03,Station electricity usage,145026.0,kWh
Apr-03,Station electricity usage,133974.0,kWh
Apr-03,Station electricity usage,38957.0,kWh
May-03,Station electricity usage,123355.0,kWh
May-03,Station electricity usage,159824.0,kWh
May-03,Station electricity usage,131676.0,kWh
May-03,Station electricity usage,57692.0,kWh
Jun-03,Station electricity usage,120361.0,kWh
Jun-03,Station electricity usage,152332.0,kWh
Jun-03,Station electricity usage,130230.4,kWh
Jun-03,Station electricity usage,43903.0,kWh
Jul-03,Station electricity usage,133075.0,kWh
Jul-03,Station electricity usage,161593.0,kWh
Jul-03,Station electricity usage,134701.0,kWh
Jul-03,Station electricity usage,46359.0,kWh
Aug-03,Station electricity usage,147763.0,kWh
Aug-03,Station electricity usage,158634.0,kWh
Aug-03,Station electricity usage,133884.0,kWh
Aug-03,Station electricity usage,45836.0,kWh
Sep-03,Station electricity usage,116381.0,kWh
Sep-03,Station electricity usage,146825.0,kWh
Sep-03,Station electricity usage,137566.0,kWh
Sep-03,Station electricity usage,44755.0,kWh
Oct-03,Station electricity usage,96235.0,kWh
Oct-03,Station electricity usage,146748.0,kWh
Oct-03,Station electricity usage,150741.0,kWh
Oct-03,Station electricity usage,44775.0,kWh
Nov-03,Station electricity usage,94190.0,kWh
Nov-03,Station electricity usage,147949.0,kWh
Nov-03,Station electricity usage,148940.0,kWh
Nov-03,Station electricity usage,37580.0,kWh
Dec-03,Station electricity usage,93820.0,kWh
Dec-03,Station electricity usage,146250.0,kWh
Dec-03,Station electricity usage,149119.0,kWh
Dec-03,Station electricity usage,45550.0,kWh
Jan-04,Station electricity usage,91029.0,kWh
Jan-04,Station electricity usage,136903.0,kWh
Jan-04,Station electricity usage,144890.0,kWh
Jan-04,Station electricity usage,33217.0,kWh
Feb-04,Station electricity usage,102220.0,kWh
Feb-04,Station electricity usage,124892.0,kWh
Feb-04,Station electricity usage,143448.0,kWh
Feb-04,Station electricity usage,40329.0,kWh
Mar-04,Station electricity usage,113472.0,kWh
Mar-04,Station electricity usage,146625.0,kWh
Mar-04,Station electricity usage,131109.0,kWh
Mar-04,Station electricity usage,44065.0,kWh
Apr-04,Station electricity usage,115758.0,kWh
Apr-04,Station electricity usage,128402.0,kWh
Apr-04,Station electricity usage,134909.0,kWh
