Indicator 57 Monthly incinerator fuel usage of Australian Antarctic Stations,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Jan-95,-67.60269444,62.87380556,Mawson,Fuel usage,2300,,litres,,
Feb-95,-67.60269444,62.87380556,Mawson,Fuel usage,2550,,litres,,
Mar-95,-67.60269444,62.87380556,Mawson,Fuel usage,1220,,litres,,
Apr-95,-67.60269444,62.87380556,Mawson,Fuel usage,1150,,litres,,
May-95,-67.60269444,62.87380556,Mawson,Fuel usage,900,,litres,,
Jun-95,-67.60269444,62.87380556,Mawson,Fuel usage,500,,litres,,
Jul-95,-67.60269444,62.87380556,Mawson,Fuel usage,280,,litres,,
Aug-95,-67.60269444,62.87380556,Mawson,Fuel usage,1020,,litres,,
Sep-95,-67.60269444,62.87380556,Mawson,Fuel usage,1970,,litres,,
Oct-95,-67.60269444,62.87380556,Mawson,Fuel usage,1100,,litres,,
Nov-95,-67.60269444,62.87380556,Mawson,Fuel usage,1200,,litres,,
Dec-95,-67.60269444,62.87380556,Mawson,Fuel usage,2000,,litres,,
Jan-96,-67.60269444,62.87380556,Mawson,Fuel usage,1000,,litres,,
Feb-96,-67.60269444,62.87380556,Mawson,Fuel usage,1100,,litres,,
Mar-96,-67.60269444,62.87380556,Mawson,Fuel usage,1700,,litres,,
Apr-96,-67.60269444,62.87380556,Mawson,Fuel usage,1500,,litres,,
May-96,-67.60269444,62.87380556,Mawson,Fuel usage,2500,,litres,,
Jun-96,-67.60269444,62.87380556,Mawson,Fuel usage,1500,,litres,,
Jul-96,-67.60269444,62.87380556,Mawson,Fuel usage,900,,litres,,
Aug-96,-67.60269444,62.87380556,Mawson,Fuel usage,700,,litres,,
Sep-96,-67.60269444,62.87380556,Mawson,Fuel usage,1100,,litres,,
Oct-96,-67.60269444,62.87380556,Mawson,Fuel usage,1200,,litres,,
Nov-96,-67.60269444,62.87380556,Mawson,Fuel usage,3050,,litres,,
Dec-96,-67.60269444,62.87380556,Mawson,Fuel usage,2000,,litres,,
Jan-97,-67.60269444,62.87380556,Mawson,Fuel usage,850,,litres,,
Jan-97,-68.57661111,77.96738889,Davis,Fuel usage,1500,,litres,,
Jan-97,-66.28180556,110.5276111,Casey,Fuel usage,3100,,litres,,
Jan-97,-54.61988889,158.861,Macquarie Island,Fuel usage,800,,litres,,
Feb-97,-67.60269444,62.87380556,Mawson,Fuel usage,550,,litres,,
Feb-97,-68.57661111,77.96738889,Davis,Fuel usage,1800,,litres,,
Feb-97,-66.28180556,110.5276111,Casey,Fuel usage,3650,,litres,,
Feb-97,-54.61988889,158.861,Macquarie Island,Fuel usage,1150,,litres,,
Mar-97,-67.60269444,62.87380556,Mawson,Fuel usage,2300,,litres,,
Mar-97,-68.57661111,77.96738889,Davis,Fuel usage,1650,,litres,,
Mar-97,-66.28180556,110.5276111,Casey,Fuel usage,2200,,litres,,
Mar-97,-54.61988889,158.861,Macquarie Island,Fuel usage,,,litres,,
Apr-97,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres,,
Apr-97,-68.57661111,77.96738889,Davis,Fuel usage,1250,,litres,,
Apr-97,-66.28180556,110.5276111,Casey,Fuel usage,1850,,litres,,
Apr-97,-54.61988889,158.861,Macquarie Island,Fuel usage,1430,,litres,,
May-97,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres,,
May-97,-68.57661111,77.96738889,Davis,Fuel usage,1100,,litres,,
May-97,-66.28180556,110.5276111,Casey,Fuel usage,1400,,litres,,
May-97,-54.61988889,158.861,Macquarie Island,Fuel usage,1045,,litres,,
Jun-97,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres,,
Jun-97,-68.57661111,77.96738889,Davis,Fuel usage,1100,,litres,,
Jun-97,-66.28180556,110.5276111,Casey,Fuel usage,1400,,litres,,
Jun-97,-54.61988889,158.861,Macquarie Island,Fuel usage,1000,,litres,,
Jul-97,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres,,
Jul-97,-68.57661111,77.96738889,Davis,Fuel usage,2100,,litres,,
Jul-97,-66.28180556,110.5276111,Casey,Fuel usage,2200,,litres,,
Jul-97,-54.61988889,158.861,Macquarie Island,Fuel usage,610,,litres,,
Aug-97,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres,,
Aug-97,-68.57661111,77.96738889,Davis,Fuel usage,900,,litres,,
Aug-97,-66.28180556,110.5276111,Casey,Fuel usage,1400,,litres,,
Aug-97,-54.61988889,158.861,Macquarie Island,Fuel usage,560,,litres,,
Sep-97,-67.60269444,62.87380556,Mawson,Fuel usage,300,,litres,,
Sep-97,-68.57661111,77.96738889,Davis,Fuel usage,900,,litres,,
Sep-97,-66.28180556,110.5276111,Casey,Fuel usage,,,litres,,
Sep-97,-54.61988889,158.861,Macquarie Island,Fuel usage,633,,litres,,
Oct-97,-67.60269444,62.87380556,Mawson,Fuel usage,500,,litres,,
Oct-97,-68.57661111,77.96738889,Davis,Fuel usage,1100,,litres,,
Oct-97,-66.28180556,110.5276111,Casey,Fuel usage,1300,,litres,,
Oct-97,-54.61988889,158.861,Macquarie Island,Fuel usage,790,,litres,,
Nov-97,-67.60269444,62.87380556,Mawson,Fuel usage,350,,litres,,
Nov-97,-68.57661111,77.96738889,Davis,Fuel usage,2000,,litres,,
Nov-97,-66.28180556,110.5276111,Casey,Fuel usage,2200,,litres,,
Nov-97,-54.61988889,158.861,Macquarie Island,Fuel usage,1713,,litres,,
Dec-97,-67.60269444,62.87380556,Mawson,Fuel usage,700,,litres,,
Dec-97,-68.57661111,77.96738889,Davis,Fuel usage,1900,,litres,,
Dec-97,-66.28180556,110.5276111,Casey,Fuel usage,3200,,litres,,
Dec-97,-54.61988889,158.861,Macquarie Island,Fuel usage,1697,,litres,,
